"filename", "language", "Python", "Properties", "comment", "blank", "total"
"/mnt/a8e88b41-8715-495f-a6db-4e0baa9e2b75/#Nico/Projects/DiscordOlaf/.env", "Properties", 0, 1, 0, 1, 2
"/mnt/a8e88b41-8715-495f-a6db-4e0baa9e2b75/#Nico/Projects/DiscordOlaf/__main__.py", "Python", 118, 0, 38, 44, 200
"/mnt/a8e88b41-8715-495f-a6db-4e0baa9e2b75/#Nico/Projects/DiscordOlaf/_constants.py", "Python", 6, 0, 0, 1, 7
"/mnt/a8e88b41-8715-495f-a6db-4e0baa9e2b75/#Nico/Projects/DiscordOlaf/zzz_test.py", "Python", 10, 0, 0, 3, 13
"Total", "-", 134, 1, 38, 49, 222
