"filename", "language", "Python", "comment", "blank", "total"
"/mnt/a8e88b41-8715-495f-a6db-4e0baa9e2b75/#Nico/Projects/DiscordOlaf/__main__.py", "Python", 3, 0, 0, 3
"Total", "-", 3, 0, 0, 3
